Timestamp,battery_voltage (V),signal.rssi (dBm),signal.snr (dB),signal.spreadingfactor (Factor),uncorrected_inner (cm/hr),uncorrected_outer (cm/hr)
2026-04-01 01:49:05,3.97,-93.0,8.0,10.0,1.562,1.201
2026-04-01 02:04:06,3.96,-87.0,10.5,10.0,1.59,1.184
2026-04-01 02:19:02,3.96,-86.0,10.8,10.0,1.588,1.166
2026-04-01 02:34:06,3.95,-86.0,10.0,10.0,1.577,1.127
2026-04-01 02:49:08,,-89.0,12.0,10.0,,
2026-04-01 03:04:00,3.95,-93.0,8.5,10.0,1.651,1.217
2026-04-01 03:19:03,3.94,-87.0,9.8,10.0,1.596,1.235
2026-04-01 03:34:09,3.94,-90.0,10.5,10.0,1.507,1.125
2026-04-01 03:49:04,3.94,-92.0,10.0,10.0,1.618,1.211
2026-04-01 04:04:00,3.93,-88.0,11.2,10.0,1.537,1.121
2026-04-01 04:19:06,3.93,-88.0,11.0,10.0,1.406,1.203
2026-04-01 04:34:00,3.93,-88.0,10.5,10.0,1.449,1.162
2026-04-01 04:49:02,3.92,-89.0,6.8,10.0,1.565,1.165
2026-04-01 05:04:07,3.92,-87.0,10.0,10.0,1.45,1.005
2026-04-01 05:19:07,3.91,-85.0,8.5,10.0,1.503,1.058
2026-04-01 05:34:02,3.91,-90.0,8.5,10.0,1.357,1.094
2026-04-01 05:49:07,3.91,-86.0,10.0,10.0,1.642,1.08
2026-04-01 06:04:05,3.9,-89.0,10.2,10.0,1.418,1.145
2026-04-01 06:19:07,3.9,-86.0,10.2,10.0,1.357,1.078
2026-04-01 06:34:06,3.89,-90.0,9.2,10.0,1.39,1.216
2026-04-01 06:49:02,3.89,-87.0,10.2,10.0,1.428,1.15
2026-04-01 07:04:00,3.89,-91.0,8.0,10.0,1.509,1.088
2026-04-01 07:19:06,3.88,-94.0,8.5,10.0,1.403,1.127
2026-04-01 07:34:05,3.88,-93.0,8.0,10.0,1.238,1.004
2026-04-01 07:49:07,3.88,-86.0,9.8,10.0,1.232,0.951
2026-04-01 08:04:07,3.89,-89.0,8.5,10.0,1.424,0.982
2026-04-01 08:19:03,3.9,-87.0,8.8,10.0,1.224,0.913
2026-04-01 08:34:06,3.95,-86.0,10.2,10.0,1.112,0.97
2026-04-01 08:48:59,3.96,-88.0,10.2,10.0,1.232,0.916
2026-04-01 09:04:05,3.97,-93.0,8.2,10.0,1.249,1.042
2026-04-01 09:19:04,3.98,-91.0,9.2,10.0,1.223,0.928
2026-04-01 09:34:04,3.97,-90.0,9.5,10.0,1.336,1.078
2026-04-01 09:49:03,3.99,-86.0,9.8,10.0,1.328,0.943
2026-04-01 10:04:01,3.97,-95.0,9.2,10.0,1.328,1.042
2026-04-01 10:19:01,4.06,-88.0,11.0,10.0,1.12,1.035
2026-04-01 10:34:03,4.08,-88.0,10.5,10.0,1.226,0.927
2026-04-01 10:49:01,4.03,-85.0,10.2,10.0,1.291,1.073
2026-04-01 11:04:04,4.09,-88.0,12.0,10.0,1.141,0.901
2026-04-01 11:19:00,4.04,-94.0,9.8,10.0,1.259,0.921
2026-04-01 11:34:08,4.05,-88.0,12.2,10.0,1.347,1.075
2026-04-01 11:49:00,4.07,-89.0,10.0,10.0,1.219,1.011
2026-04-01 12:04:01,4.12,-90.0,10.8,10.0,1.349,0.91
2026-04-01 12:19:06,4.14,-86.0,9.5,10.0,1.158,0.987
2026-04-01 12:34:05,4.15,-89.0,8.5,10.0,1.284,1.053
2026-04-01 12:49:00,4.16,-90.0,10.8,10.0,0.95,0.824
2026-04-01 13:04:04,4.17,-89.0,11.2,10.0,1.217,0.879
2026-04-01 13:19:09,4.07,-98.0,6.2,10.0,1.296,0.868
2026-04-01 13:34:02,4.19,-92.0,9.5,10.0,1.089,0.854
2026-04-01 13:49:10,4.19,-97.0,7.5,10.0,1.118,0.902
2026-04-01 14:04:07,4.19,-88.0,10.5,10.0,1.463,1.077
2026-04-01 14:19:08,4.19,-88.0,12.2,10.0,0.993,0.869
2026-04-01 14:34:00,4.19,-88.0,8.0,10.0,1.118,0.993
2026-04-01 14:49:08,4.19,-90.0,7.8,10.0,1.298,1.016
2026-04-01 15:04:01,4.19,-89.0,9.8,10.0,1.062,1.003
2026-04-01 15:19:07,4.19,-88.0,11.0,10.0,1.431,1.045
2026-04-01 15:34:08,4.11,-90.0,8.2,10.0,1.249,0.865
2026-04-01 15:49:04,4.19,-87.0,9.5,10.0,1.409,0.965
2026-04-01 16:04:04,4.19,-91.0,7.5,10.0,1.496,1.185
2026-04-01 16:19:03,4.19,-89.0,10.0,10.0,1.381,1.032
2026-04-01 16:34:04,4.19,-86.0,10.0,10.0,1.27,1.01
2026-04-01 16:49:07,4.19,-100.0,6.2,10.0,1.4,1.1
2026-04-01 17:04:08,4.19,-87.0,8.8,10.0,1.436,1.101
2026-04-01 17:19:06,4.19,-90.0,9.8,10.0,1.43,1.114
2026-04-01 17:34:08,4.19,-90.0,8.5,10.0,1.362,1.035
2026-04-01 17:49:06,4.14,-88.0,10.8,10.0,1.451,1.097
2026-04-01 18:04:02,4.12,-91.0,9.8,10.0,1.567,1.227
2026-04-01 18:19:02,4.11,-88.0,11.5,10.0,1.598,1.139
2026-04-01 18:34:08,4.11,-88.0,12.2,10.0,1.566,1.036
2026-04-01 18:49:06,4.1,-95.0,7.8,10.0,1.563,1.157
2026-04-01 19:04:00,4.1,-86.0,9.5,10.0,1.551,1.123
2026-04-01 19:19:00,4.09,-86.0,9.0,10.0,1.422,1.092
2026-04-01 19:34:04,4.09,-94.0,9.0,10.0,1.499,1.071
2026-04-01 19:49:09,4.09,-86.0,7.0,10.0,1.299,1.048
2026-04-01 20:04:04,4.09,-87.0,10.2,10.0,1.312,1.016
2026-04-01 20:19:04,4.08,-89.0,9.8,10.0,1.242,1.008
2026-04-01 20:34:04,4.08,-87.0,12.0,10.0,1.323,0.88
2026-04-01 20:49:00,4.08,-90.0,7.8,10.0,1.371,0.885
2026-04-01 21:04:07,4.08,-94.0,10.2,10.0,1.247,0.97
2026-04-01 21:19:02,4.08,-89.0,8.5,10.0,1.134,0.957
2026-04-01 21:34:02,4.08,-92.0,9.5,10.0,1.131,0.91
2026-04-01 21:49:03,4.07,-89.0,11.0,10.0,1.26,0.956
2026-04-01 22:04:08,4.07,-87.0,10.5,10.0,1.213,0.988
2026-04-01 22:19:06,4.07,-88.0,10.8,10.0,1.34,0.908
2026-04-01 22:34:07,4.07,-88.0,9.0,10.0,1.444,0.973
2026-04-01 22:49:03,4.07,-92.0,9.8,10.0,1.267,1.019
2026-04-01 23:04:05,4.07,-89.0,9.2,10.0,1.303,0.966
2026-04-01 23:19:01,4.06,-87.0,9.2,10.0,1.415,0.992
2026-04-01 23:34:08,4.06,-91.0,10.0,10.0,1.344,1.076
2026-04-01 23:49:08,4.06,-87.0,9.8,10.0,1.279,1.088
2026-04-02 00:04:07,4.06,-95.0,8.5,10.0,1.475,1.086
2026-04-02 00:19:03,4.06,-91.0,8.5,10.0,1.465,1.106
2026-04-02 00:34:06,4.06,-87.0,9.8,10.0,1.406,1.034
2026-04-02 00:49:03,4.05,-88.0,11.0,10.0,1.356,1.03
2026-04-02 01:04:00,4.05,-87.0,10.5,10.0,1.322,1.105
2026-04-02 01:19:06,4.05,-88.0,11.0,10.0,1.212,0.983
2026-04-02 01:34:00,4.05,-91.0,8.8,10.0,1.135,0.989
2026-04-02 01:49:08,4.05,-88.0,11.0,10.0,1.26,0.949
2026-04-02 02:04:06,4.04,-90.0,8.8,10.0,1.307,0.964
2026-04-02 02:19:07,4.04,-94.0,9.2,10.0,1.288,0.971
2026-04-02 02:34:05,4.04,-87.0,10.2,10.0,1.21,0.937
2026-04-02 02:49:06,4.03,-87.0,10.5,10.0,1.189,0.929
2026-04-02 03:04:01,,-88.0,10.2,10.0,,
2026-04-02 03:19:08,4.03,-88.0,8.5,10.0,1.235,0.921
2026-04-02 03:34:03,4.02,-89.0,9.8,10.0,1.253,0.973
2026-04-02 03:49:01,4.02,-87.0,9.5,10.0,1.19,0.977
2026-04-02 04:04:03,4.02,-88.0,11.2,10.0,1.248,0.93
2026-04-02 04:19:09,4.01,-90.0,9.5,10.0,1.327,0.941
2026-04-02 04:34:00,4.01,-87.0,10.2,10.0,1.253,0.894
2026-04-02 04:49:05,4.0,-86.0,9.8,10.0,1.148,0.976
2026-04-02 05:04:08,4.0,-85.0,8.8,10.0,1.249,0.922
2026-04-02 05:19:04,4.0,-88.0,9.0,10.0,1.081,0.949
2026-04-02 05:34:00,3.99,-87.0,9.0,10.0,1.088,0.907
2026-04-02 05:49:08,3.99,-87.0,10.2,10.0,1.149,0.884
2026-04-02 06:04:04,3.99,-86.0,10.2,10.0,1.15,0.862
2026-04-02 06:19:06,3.98,-91.0,10.5,10.0,1.07,0.919
2026-04-02 06:34:02,3.98,-87.0,10.5,10.0,1.061,0.878
2026-04-02 06:49:06,3.97,-89.0,10.0,10.0,1.093,0.835
2026-04-02 07:04:06,3.97,-88.0,10.2,10.0,1.044,0.92
2026-04-02 07:19:00,3.97,-87.0,10.2,10.0,1.053,0.871
2026-04-02 07:34:02,3.97,-88.0,9.0,10.0,1.05,0.811
2026-04-02 07:49:09,3.96,-88.0,11.2,10.0,1.042,0.828
2026-04-02 08:04:05,3.96,-91.0,12.2,10.0,0.96,0.802
2026-04-02 08:19:08,3.96,-91.0,9.8,10.0,0.893,0.701
2026-04-02 08:34:02,3.96,-87.0,10.5,10.0,0.952,0.641
2026-04-02 08:49:08,3.95,-89.0,8.8,10.0,0.752,0.676
2026-04-02 09:04:07,3.95,-87.0,10.5,10.0,0.859,0.78
2026-04-02 09:19:00,3.96,-89.0,8.5,10.0,0.877,0.754
2026-04-02 09:34:07,3.96,-88.0,9.2,10.0,0.743,0.649
2026-04-02 09:49:07,3.99,-86.0,10.5,10.0,0.703,0.649
2026-04-02 10:04:10,4.01,-86.0,10.0,10.0,0.766,0.608
2026-04-02 10:19:08,4.05,-92.0,10.2,10.0,0.644,0.517
2026-04-02 10:34:06,4.04,-85.0,7.2,10.0,0.699,0.594
2026-04-02 10:49:00,4.1,-89.0,10.0,10.0,0.524,0.48
2026-04-02 11:04:02,4.11,-87.0,10.5,10.0,0.42,0.443
2026-04-02 11:19:09,4.12,-86.0,10.8,10.0,0.523,0.522
2026-04-02 11:34:03,4.13,-89.0,10.2,10.0,0.477,0.493
2026-04-02 11:49:03,4.14,-86.0,11.8,10.0,0.285,0.396
2026-04-02 12:04:01,4.14,-87.0,11.0,10.0,0.295,0.287
2026-04-02 12:19:07,4.17,-87.0,9.8,10.0,-0.246,-0.087
2026-04-02 12:34:10,4.17,-87.0,8.5,10.0,-0.283,-0.023
2026-04-02 12:49:03,4.17,-87.0,7.8,10.0,-0.363,-0.144
2026-04-02 13:04:06,4.08,-91.0,9.0,10.0,-0.205,0.029
2026-04-02 13:19:07,4.19,-86.0,10.2,10.0,0.374,0.462
2026-04-02 16:49:01,4.19,-87.0,10.5,10.0,2.285,1.617
2026-04-02 17:04:09,,-86.0,10.0,10.0,,
2026-04-02 17:19:04,,-87.0,10.0,10.0,,
2026-04-02 17:34:00,,-89.0,7.5,10.0,,
2026-04-02 17:49:10,4.1,-83.0,11.5,10.0,2.201,1.603
2026-04-02 18:04:00,4.12,-98.0,-3.5,10.0,2.079,1.623
2026-04-02 18:19:05,4.14,-87.0,11.2,10.0,2.126,1.603
2026-04-02 18:34:03,4.15,-85.0,11.0,10.0,2.14,1.573
2026-04-02 18:49:08,4.11,-84.0,11.5,10.0,2.346,1.859
2026-04-02 19:04:08,4.1,-87.0,7.5,10.0,2.513,1.921
2026-04-02 19:19:08,4.09,-85.0,10.8,10.0,2.592,1.798
2026-04-02 19:34:08,4.09,-82.0,10.2,10.0,2.658,1.869
2026-04-02 19:49:07,4.09,-84.0,10.8,10.0,2.548,1.957
2026-04-02 20:04:08,4.09,-86.0,9.5,10.0,2.48,1.802
2026-04-02 20:19:06,4.09,-88.0,9.8,10.0,2.404,1.865
2026-04-02 20:34:02,4.08,-91.0,10.0,10.0,3.818,2.729
2026-04-02 20:49:03,4.08,-91.0,11.2,10.0,2.951,2.168
2026-04-02 21:04:03,4.08,-96.0,2.8,10.0,2.751,2.068
2026-04-02 21:19:02,4.08,-87.0,8.8,10.0,2.857,2.133
2026-04-02 21:34:02,4.08,-85.0,8.0,10.0,2.12,1.494
2026-04-02 21:49:03,4.07,-88.0,9.8,10.0,2.148,1.571
2026-04-02 22:04:07,4.07,-85.0,9.8,10.0,2.618,1.985
2026-04-02 22:19:05,4.07,-87.0,9.2,10.0,2.384,1.72
2026-04-02 22:34:07,4.07,-91.0,8.8,10.0,2.067,1.579
2026-04-02 22:49:04,4.07,-86.0,8.5,10.0,1.809,1.439
2026-04-02 23:04:06,4.07,-87.0,10.8,10.0,1.467,1.117
2026-04-02 23:19:04,4.06,-87.0,10.0,10.0,1.555,1.194
2026-04-02 23:34:07,4.06,-88.0,8.2,10.0,1.558,1.271
2026-04-02 23:49:05,4.06,-88.0,9.8,10.0,1.69,1.345
2026-04-03 00:04:09,4.06,-88.0,11.0,10.0,1.757,1.337
2026-04-03 00:19:03,4.06,-85.0,9.0,10.0,1.837,1.386
2026-04-03 00:34:07,4.05,-84.0,9.0,10.0,1.881,1.433
2026-04-03 00:49:01,4.05,-86.0,10.0,10.0,1.886,1.382
2026-04-03 01:04:03,4.05,-85.0,11.0,10.0,1.974,1.496
2026-04-03 01:19:05,4.05,-83.0,9.0,10.0,1.825,1.335
2026-04-03 01:34:09,4.04,-85.0,7.8,10.0,1.882,1.472
2026-04-03 01:49:06,4.04,-85.0,10.2,10.0,2.788,2.14
2026-04-03 02:04:03,4.04,-87.0,9.5,10.0,2.8,2.014
2026-04-03 02:19:02,4.03,-83.0,10.5,10.0,2.669,1.946
2026-04-03 02:34:08,4.03,-82.0,11.0,10.0,2.504,1.822
2026-04-03 02:49:01,4.03,-85.0,10.0,10.0,2.559,1.983
2026-04-03 03:04:02,4.02,-80.0,11.5,10.0,2.54,1.807
2026-04-03 03:19:08,,-82.0,11.8,10.0,,
2026-04-03 03:34:02,4.01,-84.0,8.8,10.0,2.269,1.722
2026-04-03 03:49:06,4.01,-84.0,10.5,10.0,2.313,1.653
2026-04-03 04:04:01,4.01,-84.0,8.8,10.0,2.173,1.641
2026-04-03 04:19:04,4.0,-81.0,10.8,10.0,2.133,1.609
2026-04-03 04:34:08,4.0,-89.0,9.8,10.0,2.401,1.78
2026-04-03 04:49:00,3.99,-85.0,9.8,10.0,2.215,1.616
2026-04-03 05:04:08,3.99,-82.0,11.5,10.0,2.084,1.564
2026-04-03 05:19:08,3.99,-83.0,10.8,10.0,1.982,1.546
2026-04-03 05:34:02,3.98,-84.0,8.8,10.0,1.992,1.538
2026-04-03 05:49:04,3.98,-88.0,10.0,10.0,2.038,1.5
2026-04-03 06:04:02,3.97,-82.0,9.5,10.0,2.009,1.461
2026-04-03 06:19:01,3.97,-81.0,11.0,10.0,2.042,1.497
2026-04-03 06:34:08,3.97,-83.0,11.5,10.0,1.91,1.465
2026-04-03 06:49:05,3.96,-82.0,10.5,10.0,1.989,1.55
2026-04-03 07:04:05,3.96,-83.0,10.0,10.0,1.902,1.451
2026-04-03 07:19:02,3.96,-83.0,10.2,10.0,1.876,1.418
2026-04-03 07:34:03,3.96,-84.0,8.8,10.0,1.791,1.442
2026-04-03 07:49:03,3.96,-85.0,9.5,10.0,1.903,1.466
2026-04-03 08:04:05,3.96,-82.0,10.8,10.0,1.758,1.372
2026-04-03 08:19:04,4.0,-82.0,10.5,10.0,1.716,1.258
2026-04-03 08:34:02,4.0,-82.0,11.5,10.0,1.727,1.37
2026-04-03 08:49:07,4.03,-82.0,11.5,10.0,1.62,1.274
2026-04-03 09:04:07,4.1,-85.0,11.8,10.0,1.62,1.23
2026-04-03 09:18:59,4.06,-83.0,8.0,10.0,1.277,0.979
2026-04-03 09:34:03,4.12,-83.0,9.0,10.0,1.432,1.176
2026-04-03 09:49:09,4.14,-82.0,12.5,10.0,1.166,0.961
2026-04-03 10:04:04,4.15,-82.0,10.2,10.0,0.882,0.804
2026-04-03 10:19:09,4.16,-83.0,10.5,10.0,1.542,1.198
2026-04-03 10:34:09,4.17,-83.0,11.0,10.0,1.139,1.067
2026-04-03 10:49:09,4.17,-83.0,8.8,10.0,1.269,1.097
2026-04-03 11:04:00,4.07,-83.0,9.8,10.0,0.881,0.819
2026-04-03 11:19:04,4.19,-87.0,7.8,10.0,1.874,1.489
2026-04-03 11:34:05,4.19,-86.0,6.8,10.0,0.157,0.408
2026-04-03 11:49:06,4.19,-82.0,11.2,10.0,1.074,0.91
2026-04-03 12:04:09,4.19,-83.0,10.0,10.0,1.133,0.924
2026-04-03 12:49:10,4.19,-84.0,10.0,10.0,3.065,2.236
2026-04-03 13:04:05,,-88.0,8.8,10.0,,
2026-04-03 13:19:08,,-85.0,10.8,10.0,,
2026-04-03 13:34:10,4.19,-85.0,8.8,10.0,1.946,1.515
2026-04-03 13:49:05,4.19,-84.0,10.5,10.0,2.82,1.949
2026-04-03 14:04:06,4.19,-85.0,9.2,10.0,2.532,1.833
2026-04-03 14:19:05,4.19,-85.0,11.8,10.0,2.942,2.228
2026-04-03 14:34:00,4.19,-87.0,8.8,10.0,3.156,2.106
2026-04-03 14:49:07,4.19,-85.0,8.2,10.0,2.581,1.819
2026-04-03 15:04:09,4.19,-84.0,10.2,10.0,3.343,2.277
2026-04-03 15:19:08,4.19,-89.0,9.5,10.0,2.975,2.194
2026-04-03 15:34:09,4.16,-86.0,7.0,10.0,2.521,1.812
2026-04-03 15:49:07,4.19,-86.0,7.8,10.0,2.473,1.697
2026-04-03 16:04:03,4.19,-83.0,10.8,10.0,3.162,2.105
2026-04-03 16:19:03,4.19,-84.0,8.8,10.0,3.325,2.436
2026-04-03 16:34:04,4.19,-84.0,9.5,10.0,3.22,2.161
2026-04-03 16:49:08,4.19,-84.0,9.2,10.0,2.957,2.105
2026-04-03 17:04:08,4.19,-93.0,8.5,10.0,2.827,1.947
2026-04-03 17:19:01,4.15,-86.0,8.5,10.0,2.56,1.918
2026-04-03 17:34:02,4.14,-88.0,8.0,10.0,2.438,1.809
2026-04-03 18:04:00,4.14,-84.0,10.0,10.0,2.761,1.916
2026-04-03 18:18:59,4.13,-85.0,9.8,10.0,2.579,1.874
2026-04-03 18:34:04,4.13,-83.0,9.5,10.0,2.451,1.627
2026-04-03 18:49:03,4.12,-85.0,10.0,10.0,2.349,1.771
2026-04-03 19:04:04,4.12,-85.0,10.8,10.0,2.371,1.709
2026-04-03 19:19:01,4.11,-87.0,7.0,10.0,2.235,1.654
2026-04-03 19:34:01,4.1,-87.0,9.0,10.0,2.148,1.567
2026-04-03 19:49:08,4.1,-86.0,8.8,10.0,2.171,1.491
2026-04-03 20:04:04,4.1,-86.0,9.2,10.0,2.034,1.599
2026-04-03 20:19:05,4.09,-87.0,9.0,10.0,1.943,1.499
2026-04-03 20:34:02,4.09,-85.0,9.0,10.0,2.113,1.517
2026-04-03 20:49:02,4.09,-84.0,8.8,10.0,1.945,1.498
2026-04-03 21:04:02,4.09,-84.0,10.0,10.0,1.997,1.488
2026-04-03 21:19:02,4.09,-85.0,11.0,10.0,1.993,1.496
2026-04-03 21:34:07,4.08,-88.0,4.2,10.0,2.035,1.405
2026-04-03 21:49:06,4.08,-85.0,9.2,10.0,1.988,1.42
2026-04-03 22:04:03,4.08,-86.0,10.2,10.0,2.027,1.484
2026-04-03 22:19:03,4.08,-92.0,12.0,10.0,1.726,1.315
2026-04-03 22:34:06,4.08,-86.0,8.2,10.0,1.691,1.291
2026-04-03 22:49:06,4.08,-91.0,8.2,10.0,1.573,1.281
2026-04-03 23:04:09,4.07,-87.0,8.2,10.0,1.572,1.149
2026-04-03 23:19:08,4.07,-86.0,8.2,10.0,1.436,1.106
2026-04-03 23:34:03,4.07,-87.0,7.8,10.0,1.538,1.104
2026-04-03 23:49:01,4.07,-87.0,9.8,10.0,1.61,1.15
2026-04-04 00:04:01,4.07,-86.0,7.8,10.0,1.389,1.161
2026-04-04 00:19:01,4.07,-85.0,8.8,10.0,1.492,1.172
2026-04-04 00:34:03,4.07,-85.0,8.8,10.0,1.433,1.159
2026-04-04 00:49:04,4.06,-88.0,8.2,10.0,1.339,0.973
2026-04-04 01:04:08,4.06,-101.0,9.5,10.0,1.292,1.075
2026-04-04 01:19:04,4.06,-90.0,9.8,10.0,1.263,1.001
2026-04-04 01:34:04,4.06,-88.0,9.8,10.0,1.429,1.008
2026-04-04 01:49:06,4.06,-86.0,6.8,10.0,1.399,0.959
2026-04-04 02:04:08,4.06,-86.0,8.2,10.0,1.33,1.022
2026-04-04 02:19:02,4.05,-85.0,10.0,10.0,1.204,1.093
2026-04-04 02:34:07,4.05,-85.0,10.0,10.0,1.292,0.978
2026-04-04 02:49:05,4.05,-89.0,9.0,10.0,1.097,0.892
2026-04-04 03:04:03,4.05,-87.0,8.8,10.0,0.848,0.668
2026-04-04 03:19:03,,-85.0,10.5,10.0,,
2026-04-04 03:34:06,4.04,-88.0,8.5,10.0,1.092,0.871
2026-04-04 03:49:06,4.04,-84.0,10.0,10.0,1.081,0.923
2026-04-04 04:04:03,4.04,-87.0,9.8,10.0,1.213,0.896
2026-04-04 04:19:04,4.03,-87.0,7.5,10.0,1.159,0.907
2026-04-04 04:34:00,4.03,-87.0,8.0,10.0,1.293,1.022
2026-04-04 04:49:09,4.03,-86.0,10.0,10.0,1.456,1.151
2026-04-04 05:04:02,4.02,-90.0,8.8,10.0,1.333,1.01
2026-04-04 05:19:02,4.02,-85.0,8.0,10.0,1.194,0.927
2026-04-04 05:34:09,4.02,-86.0,8.2,10.0,0.97,0.798
2026-04-04 05:49:08,4.01,-84.0,9.8,10.0,0.962,0.839
2026-04-04 06:04:08,4.01,-86.0,6.5,10.0,1.094,0.629
2026-04-04 06:19:07,4.0,-88.0,7.5,10.0,1.05,0.556
2026-04-04 06:34:03,4.0,-86.0,7.8,10.0,1.162,0.609
2026-04-04 06:49:05,4.0,-86.0,9.8,10.0,1.1,0.644
2026-04-04 07:04:06,3.99,-85.0,11.0,10.0,1.094,0.644
2026-04-04 07:19:07,3.99,-84.0,9.0,10.0,0.889,0.553
2026-04-04 07:34:01,3.99,-87.0,9.0,10.0,0.843,0.636
2026-04-04 08:04:01,3.99,-85.0,10.5,10.0,0.727,0.504
2026-04-04 08:19:05,4.02,-82.0,11.0,10.0,0.451,0.357
2026-04-04 08:34:05,3.99,-83.0,9.2,10.0,0.268,0.254
2026-04-04 08:49:03,3.99,-84.0,8.5,10.0,0.449,0.268
2026-04-04 09:04:03,4.08,-86.0,8.5,10.0,0.591,0.354
2026-04-04 09:19:01,4.0,-88.0,10.2,10.0,0.788,0.664
2026-04-04 09:34:03,4.0,-85.0,8.0,10.0,0.67,0.6
2026-04-04 09:49:05,3.99,-85.0,9.5,10.0,0.73,0.663
2026-04-04 10:04:04,3.99,-87.0,8.8,10.0,0.912,0.714
2026-04-04 10:19:10,3.99,-87.0,10.0,10.0,1.438,1.131
2026-04-04 10:34:01,4.01,-84.0,9.0,10.0,1.88,1.278
2026-04-04 10:49:04,4.12,-84.0,10.0,10.0,1.472,1.079
2026-04-04 11:04:05,4.06,-84.0,11.8,10.0,1.767,1.378
2026-04-04 11:19:07,4.11,-86.0,9.0,10.0,1.892,1.335
2026-04-04 11:34:06,4.07,-85.0,8.8,10.0,1.833,1.282
2026-04-04 11:49:08,4.15,-88.0,9.5,10.0,1.616,1.142
2026-04-04 12:04:05,4.13,-84.0,9.2,10.0,1.687,1.287
2026-04-04 12:19:05,4.17,-82.0,13.0,10.0,1.556,1.135
2026-04-04 12:34:06,4.1,-86.0,8.2,10.0,2.103,1.539
2026-04-04 12:49:03,4.14,-86.0,10.8,10.0,2.038,1.396
2026-04-04 13:04:03,4.07,-83.0,9.5,10.0,1.708,1.19
2026-04-04 13:19:07,4.19,-83.0,10.5,10.0,1.328,0.984
2026-04-04 13:34:04,4.19,-81.0,10.0,10.0,1.659,1.272
2026-04-04 13:49:04,4.17,-84.0,9.5,10.0,1.783,1.347
2026-04-04 14:04:06,4.19,-83.0,12.5,10.0,1.954,1.319
2026-04-04 14:19:04,4.19,-82.0,12.5,10.0,0.998,0.79
2026-04-04 14:34:06,4.19,-82.0,11.0,10.0,0.869,0.572
2026-04-04 14:49:09,4.19,-82.0,12.8,10.0,1.451,1.017
2026-04-04 15:04:02,4.19,-85.0,10.2,10.0,1.166,0.839
2026-04-04 15:19:05,4.11,-83.0,9.0,10.0,0.535,0.531
2026-04-04 15:34:04,4.19,-84.0,8.5,10.0,2.273,1.753
2026-04-04 15:49:04,4.19,-81.0,12.0,10.0,2.532,1.938
2026-04-04 16:04:00,4.19,-84.0,10.0,10.0,2.699,1.917
2026-04-04 16:19:03,4.12,-81.0,9.0,10.0,2.791,1.969
2026-04-04 16:34:07,4.19,-80.0,10.5,10.0,2.562,1.776
2026-04-04 16:49:07,4.12,-86.0,,10.0,2.57,1.803
2026-04-04 17:04:02,4.12,-83.0,10.5,10.0,2.739,1.814
2026-04-04 17:19:04,4.11,-81.0,9.2,10.0,2.391,1.677
2026-04-04 17:34:05,4.13,-83.0,9.0,10.0,2.184,1.576
2026-04-04 17:49:01,4.11,-83.0,11.0,10.0,2.408,1.662
2026-04-04 18:04:05,4.1,-90.0,8.2,10.0,2.246,1.646
2026-04-04 18:19:03,4.11,-79.0,8.2,10.0,2.335,1.545
2026-04-04 18:34:01,4.1,-83.0,12.5,10.0,2.357,1.62
2026-04-04 18:49:00,4.09,-82.0,10.8,10.0,2.254,1.612
2026-04-04 19:04:01,4.09,-84.0,10.0,10.0,2.157,1.479
2026-04-04 19:19:04,4.09,-84.0,9.0,10.0,2.228,1.529
2026-04-04 19:34:08,4.09,-83.0,12.0,10.0,2.238,1.484
2026-04-04 19:49:01,4.08,-86.0,7.8,10.0,2.127,1.417
2026-04-04 20:04:04,4.08,-82.0,11.0,10.0,2.145,1.582
2026-04-04 20:19:02,4.08,-83.0,11.0,,2.055,1.438
2026-04-04 20:34:02,4.08,-81.0,12.5,10.0,2.049,1.459
2026-04-04 20:49:07,4.08,-83.0,13.0,10.0,2.063,1.501
2026-04-04 21:04:07,4.08,-83.0,10.8,10.0,2.111,1.605
2026-04-04 21:19:00,4.07,-83.0,11.0,10.0,2.041,1.453
2026-04-04 21:34:09,4.07,-83.0,9.8,10.0,2.05,1.41
2026-04-04 21:49:10,4.07,-82.0,8.8,10.0,1.98,1.445
2026-04-04 22:04:10,4.07,-83.0,13.0,10.0,2.05,1.409
2026-04-04 22:19:07,4.07,-80.0,10.5,10.0,1.969,1.386
2026-04-04 22:33:59,4.07,-85.0,8.2,10.0,1.885,1.365
2026-04-04 22:49:08,4.06,-81.0,10.2,10.0,1.841,1.353
2026-04-04 23:04:09,4.06,-83.0,9.8,10.0,2.38,1.711
2026-04-04 23:19:09,4.06,-90.0,10.0,10.0,1.953,1.252
2026-04-04 23:34:08,4.06,-84.0,7.8,10.0,1.746,1.368
2026-04-04 23:49:06,4.06,-81.0,12.2,10.0,1.795,1.327
2026-04-05 00:04:02,4.06,-86.0,9.2,10.0,2.007,1.487
2026-04-05 00:19:08,4.05,-83.0,10.8,10.0,1.857,1.303
2026-04-05 00:34:03,4.05,-81.0,10.5,10.0,1.653,1.289
2026-04-05 00:49:03,4.05,-82.0,11.0,10.0,1.791,1.356
2026-04-05 01:04:00,4.05,-84.0,9.8,10.0,1.743,1.306
2026-04-05 01:19:07,4.04,-83.0,10.5,10.0,1.72,1.288
2026-04-05 01:34:03,4.04,-84.0,9.8,10.0,1.73,1.326
2026-04-05 01:49:04,4.04,-83.0,10.5,10.0,1.988,1.367
